Node_Index_0based,Node_Index_1based,Parcel_Label,Structure_Type,Hemisphere,Anatomical_Region,Yeo_Network,FSL_Label,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
176,177,7Networks_LH_DorsAttn_Post_5,Cortex,Left,Post,Dorsal_Attention,-1,1,0
177,178,7Networks_LH_DorsAttn_Post_6,Cortex,Left,Post,Dorsal_Attention,-1,1,0
178,179,7Networks_LH_DorsAttn_Post_7,Cortex,Left,Post,Dorsal_Attention,-1,1,0
179,180,7Networks_LH_DorsAttn_Post_8,Cortex,Left,Post,Dorsal_Attention,-1,1,0
180,181,7Networks_LH_DorsAttn_Post_9,Cortex,Left,Post,Dorsal_Attention,-1,1,0
181,182,7Networks_LH_DorsAttn_Post_10,Cortex,Left,Post,Dorsal_Attention,-1,1,0
182,183,7Networks_LH_DorsAttn_Post_11,Cortex,Left,Post,Dorsal_Attention,-1,1,0
183,184,7Networks_LH_DorsAttn_Post_12,Cortex,Left,Post,Dorsal_Attention,-1,1,0
184,185,7Networks_LH_DorsAttn_Post_13,Cortex,Left,Post,Dorsal_Attention,-1,1,0
185,186,7Networks_LH_DorsAttn_Post_14,Cortex,Left,Post,Dorsal_Attention,-1,1,0
186,187,7Networks_LH_DorsAttn_Post_15,Cortex,Left,Post,Dorsal_Attention,-1,1,0
187,188,7Networks_LH_DorsAttn_Post_16,Cortex,Left,Post,Dorsal_Attention,-1,1,0
188,189,7Networks_LH_DorsAttn_Post_17,Cortex,Left,Post,Dorsal_Attention,-1,1,0
189,190,7Networks_LH_DorsAttn_Post_18,Cortex,Left,Post,Dorsal_Attention,-1,1,0
190,191,7Networks_LH_DorsAttn_Post_19,Cortex,Left,Post,Dorsal_Attention,-1,1,0
191,192,7Networks_LH_DorsAttn_Post_20,Cortex,Left,Post,Dorsal_Attention,-1,1,0
192,193,7Networks_LH_DorsAttn_Post_21,Cortex,Left,Post,Dorsal_Attention,-1,1,0
193,194,7Networks_LH_DorsAttn_Post_22,Cortex,Left,Post,Dorsal_Attention,-1,1,0
194,195,7Networks_LH_DorsAttn_Post_23,Cortex,Left,Post,Dorsal_Attention,-1,1,0
195,196,7Networks_LH_DorsAttn_Post_24,Cortex,Left,Post,Dorsal_Attention,-1,1,0
196,197,7Networks_LH_DorsAttn_Post_25,Cortex,Left,Post,Dorsal_Attention,-1,1,0
197,198,7Networks_LH_DorsAttn_Post_26,Cortex,Left,Post,Dorsal_Attention,-1,1,0
198,199,7Networks_LH_DorsAttn_Post_27,Cortex,Left,Post,Dorsal_Attention,-1,1,0
199,200,7Networks_LH_DorsAttn_Post_28,Cortex,Left,Post,Dorsal_Attention,-1,1,0
200,201,7Networks_LH_DorsAttn_Post_29,Cortex,Left,Post,Dorsal_Attention,-1,1,0
201,202,7Networks_LH_DorsAttn_Post_30,Cortex,Left,Post,Dorsal_Attention,-1,1,0
202,203,7Networks_LH_DorsAttn_Post_31,Cortex,Left,Post,Dorsal_Attention,-1,1,0
