Node_Index,Parcel_Label,Yeo_Network,In_Posterior_Hot_Zone,In_Global_Neuronal_Workspace
301,7Networks_LH_Limbic_OFC_14,Limbic,0,0
302,7Networks_LH_Limbic_TempPole_1,Limbic,0,0
303,7Networks_LH_Limbic_TempPole_2,Limbic,0,0
304,7Networks_LH_Limbic_TempPole_3,Limbic,0,0
305,7Networks_LH_Limbic_TempPole_4,Limbic,0,0
306,7Networks_LH_Limbic_TempPole_5,Limbic,0,0
307,7Networks_LH_Limbic_TempPole_6,Limbic,0,0
308,7Networks_LH_Limbic_TempPole_7,Limbic,0,0
309,7Networks_LH_Limbic_TempPole_8,Limbic,0,0
310,7Networks_LH_Limbic_TempPole_9,Limbic,0,0
311,7Networks_LH_Limbic_TempPole_10,Limbic,0,0
312,7Networks_LH_Limbic_TempPole_11,Limbic,0,0
313,7Networks_LH_Limbic_TempPole_12,Limbic,0,0
314,7Networks_LH_Limbic_TempPole_13,Limbic,0,0
315,7Networks_LH_Limbic_TempPole_14,Limbic,0,0
316,7Networks_LH_Limbic_TempPole_15,Limbic,0,0
317,7Networks_LH_Cont_Par_1,Control_Frontoparietal,1,1
318,7Networks_LH_Cont_Par_2,Control_Frontoparietal,1,1
319,7Networks_LH_Cont_Par_3,Control_Frontoparietal,1,1
320,7Networks_LH_Cont_Par_4,Control_Frontoparietal,1,1
321,7Networks_LH_Cont_Par_5,Control_Frontoparietal,1,1
322,7Networks_LH_Cont_Par_6,Control_Frontoparietal,1,1
323,7Networks_LH_Cont_Par_7,Control_Frontoparietal,1,1
324,7Networks_LH_Cont_Par_8,Control_Frontoparietal,1,1
325,7Networks_LH_Cont_Par_9,Control_Frontoparietal,1,1
326,7Networks_LH_Cont_Par_10,Control_Frontoparietal,1,1
327,7Networks_LH_Cont_Par_11,Control_Frontoparietal,1,1
328,7Networks_LH_Cont_Par_12,Control_Frontoparietal,1,1
329,7Networks_LH_Cont_Par_13,Control_Frontoparietal,1,1
330,7Networks_LH_Cont_Par_14,Control_Frontoparietal,1,1
331,7Networks_LH_Cont_Par_15,Control_Frontoparietal,1,1
332,7Networks_LH_Cont_Temp_1,Control_Frontoparietal,0,1
333,7Networks_LH_Cont_Temp_2,Control_Frontoparietal,0,1
334,7Networks_LH_Cont_Temp_3,Control_Frontoparietal,0,1
335,7Networks_LH_Cont_Temp_4,Control_Frontoparietal,0,1
336,7Networks_LH_Cont_PFCd_1,Control_Frontoparietal,0,1
337,7Networks_LH_Cont_PFCl_1,Control_Frontoparietal,0,1
338,7Networks_LH_Cont_PFCl_2,Control_Frontoparietal,0,1
339,7Networks_LH_Cont_PFCl_3,Control_Frontoparietal,0,1
340,7Networks_LH_Cont_PFCl_4,Control_Frontoparietal,0,1
341,7Networks_LH_Cont_PFCl_5,Control_Frontoparietal,0,1
342,7Networks_LH_Cont_PFCl_6,Control_Frontoparietal,0,1
343,7Networks_LH_Cont_PFCl_7,Control_Frontoparietal,0,1
344,7Networks_LH_Cont_PFCl_8,Control_Frontoparietal,0,1
345,7Networks_LH_Cont_PFCl_9,Control_Frontoparietal,0,1
346,7Networks_LH_Cont_PFCl_10,Control_Frontoparietal,0,1
347,7Networks_LH_Cont_PFCl_11,Control_Frontoparietal,0,1
348,7Networks_LH_Cont_PFCl_12,Control_Frontoparietal,0,1
349,7Networks_LH_Cont_PFCl_13,Control_Frontoparietal,0,1
350,7Networks_LH_Cont_PFCl_14,Control_Frontoparietal,0,1
351,7Networks_LH_Cont_PFCl_15,Control_Frontoparietal,0,1
352,7Networks_LH_Cont_PFCl_16,Control_Frontoparietal,0,1
353,7Networks_LH_Cont_PFCl_17,Control_Frontoparietal,0,1
354,7Networks_LH_Cont_PFCl_18,Control_Frontoparietal,0,1
355,7Networks_LH_Cont_PFCl_19,Control_Frontoparietal,0,1
356,7Networks_LH_Cont_PFCl_20,Control_Frontoparietal,0,1
357,7Networks_LH_Cont_OFC_1,Control_Frontoparietal,0,1
358,7Networks_LH_Cont_PFCv_1,Control_Frontoparietal,0,1
359,7Networks_LH_Cont_PFCv_2,Control_Frontoparietal,0,1
360,7Networks_LH_Cont_pCun_1,Control_Frontoparietal,1,1
361,7Networks_LH_Cont_pCun_2,Control_Frontoparietal,1,1
362,7Networks_LH_Cont_pCun_3,Control_Frontoparietal,1,1
363,7Networks_LH_Cont_pCun_4,Control_Frontoparietal,1,1
364,7Networks_LH_Cont_Cing_1,Control_Frontoparietal,0,1
365,7Networks_LH_Cont_Cing_2,Control_Frontoparietal,0,1
366,7Networks_LH_Cont_Cing_3,Control_Frontoparietal,0,1
367,7Networks_LH_Cont_Cing_4,Control_Frontoparietal,0,1
368,7Networks_LH_Cont_Cing_5,Control_Frontoparietal,0,1
369,7Networks_LH_Cont_Cing_6,Control_Frontoparietal,0,1
370,7Networks_LH_Cont_Cing_7,Control_Frontoparietal,0,1
371,7Networks_LH_Cont_Cing_8,Control_Frontoparietal,0,1
372,7Networks_LH_Cont_PFCmp_1,Control_Frontoparietal,0,1
373,7Networks_LH_Cont_PFCmp_2,Control_Frontoparietal,0,1
374,7Networks_LH_Default_Par_1,Default_Mode,1,0
375,7Networks_LH_Default_Par_2,Default_Mode,1,0
376,7Networks_LH_Default_Par_3,Default_Mode,1,0
377,7Networks_LH_Default_Par_4,Default_Mode,1,0
378,7Networks_LH_Default_Par_5,Default_Mode,1,0
379,7Networks_LH_Default_Par_6,Default_Mode,1,0
380,7Networks_LH_Default_Par_7,Default_Mode,1,0
381,7Networks_LH_Default_Par_8,Default_Mode,1,0
382,7Networks_LH_Default_Par_9,Default_Mode,1,0
383,7Networks_LH_Default_Par_10,Default_Mode,1,0
384,7Networks_LH_Default_Par_11,Default_Mode,1,0
385,7Networks_LH_Default_Par_12,Default_Mode,1,0
386,7Networks_LH_Default_Par_13,Default_Mode,1,0
387,7Networks_LH_Default_Par_14,Default_Mode,1,0
388,7Networks_LH_Default_Par_15,Default_Mode,1,0
389,7Networks_LH_Default_Par_16,Default_Mode,1,0
390,7Networks_LH_Default_Par_17,Default_Mode,1,0
391,7Networks_LH_Default_Par_18,Default_Mode,1,0
392,7Networks_LH_Default_Par_19,Default_Mode,1,0
393,7Networks_LH_Default_Temp_1,Default_Mode,1,0
394,7Networks_LH_Default_Temp_2,Default_Mode,1,0
395,7Networks_LH_Default_Temp_3,Default_Mode,1,0
396,7Networks_LH_Default_Temp_4,Default_Mode,1,0
397,7Networks_LH_Default_Temp_5,Default_Mode,1,0
398,7Networks_LH_Default_Temp_6,Default_Mode,1,0
399,7Networks_LH_Default_Temp_7,Default_Mode,1,0
400,7Networks_LH_Default_Temp_8,Default_Mode,1,0
401,7Networks_LH_Default_Temp_9,Default_Mode,1,0
402,7Networks_LH_Default_Temp_10,Default_Mode,1,0
403,7Networks_LH_Default_Temp_11,Default_Mode,1,0
404,7Networks_LH_Default_Temp_12,Default_Mode,1,0
405,7Networks_LH_Default_Temp_13,Default_Mode,1,0
406,7Networks_LH_Default_Temp_14,Default_Mode,1,0
407,7Networks_LH_Default_Temp_15,Default_Mode,1,0
408,7Networks_LH_Default_Temp_16,Default_Mode,1,0
409,7Networks_LH_Default_Temp_17,Default_Mode,1,0
410,7Networks_LH_Default_Temp_18,Default_Mode,1,0
411,7Networks_LH_Default_Temp_19,Default_Mode,1,0
412,7Networks_LH_Default_Temp_20,Default_Mode,1,0
413,7Networks_LH_Default_Temp_21,Default_Mode,1,0
414,7Networks_LH_Default_Temp_22,Default_Mode,1,0
415,7Networks_LH_Default_PFC_1,Default_Mode,0,1
416,7Networks_LH_Default_PFC_2,Default_Mode,0,1
417,7Networks_LH_Default_PFC_3,Default_Mode,0,1
418,7Networks_LH_Default_PFC_4,Default_Mode,0,1
419,7Networks_LH_Default_PFC_5,Default_Mode,0,1
420,7Networks_LH_Default_PFC_6,Default_Mode,0,1
421,7Networks_LH_Default_PFC_7,Default_Mode,0,1
422,7Networks_LH_Default_PFC_8,Default_Mode,0,1
423,7Networks_LH_Default_PFC_9,Default_Mode,0,1
424,7Networks_LH_Default_PFC_10,Default_Mode,0,1
425,7Networks_LH_Default_PFC_11,Default_Mode,0,1
426,7Networks_LH_Default_PFC_12,Default_Mode,0,1
427,7Networks_LH_Default_PFC_13,Default_Mode,0,1
428,7Networks_LH_Default_PFC_14,Default_Mode,0,1
429,7Networks_LH_Default_PFC_15,Default_Mode,0,1
430,7Networks_LH_Default_PFC_16,Default_Mode,0,1
431,7Networks_LH_Default_PFC_17,Default_Mode,0,1
432,7Networks_LH_Default_PFC_18,Default_Mode,0,1
433,7Networks_LH_Default_PFC_19,Default_Mode,0,1
434,7Networks_LH_Default_PFC_20,Default_Mode,0,1
435,7Networks_LH_Default_PFC_21,Default_Mode,0,1
436,7Networks_LH_Default_PFC_22,Default_Mode,0,1
437,7Networks_LH_Default_PFC_23,Default_Mode,0,1
